,id,number,state,userId,userlogin,username,labels,createTimestamp,updateTimestamp,finishTimestamp,type
509,2930247,I1QSZR,open,7347367,wangnan39,wangnan39,"[{'id': 58024323, 'name': 'comp/api', 'color': 'f1009a', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/comp/api', 'created_at': '2020-03-19T16:40:35+08:00', 'updated_at': '2021-01-27T14:17:44+08:00'}]",2020-08-10T10:48:36+08:00,2020-12-30T10:16:23+08:00,,RFC
510,2927280,I1QQPC,open,7456437,huaweib,baihuawei,[],2020-08-09T15:08:20+08:00,2020-08-12T10:45:39+08:00,,RFC
511,2926636,I1QQ7G,open,6571795,zichun_ye,zichun_ye,[],2020-08-09T01:25:07+08:00,2020-08-09T01:25:09+08:00,,RFC
512,2925858,I1QPLU,open,6566965,andy_wangrui,andy_wangrui,[],2020-08-08T18:31:57+08:00,2020-08-08T18:31:58+08:00,,Task-Tracking
513,2925575,I1QPDZ,open,1766817,rmdyh,Rmdyh,[],2020-08-08T17:10:16+08:00,2020-08-08T17:11:11+08:00,,Bug-Report
514,2905558,I1Q9XY,open,6575981,hanjun996,hanjun996,[],2020-08-05T11:13:18+08:00,2020-08-05T11:14:21+08:00,,Task-Tracking
515,2903605,I1Q8FP,open,7892682,ffeiding,ffeiDing,[],2020-08-04T22:06:51+08:00,2020-08-04T22:09:19+08:00,,Bug-Report
516,2902168,I1Q7BS,open,6575981,hanjun996,hanjun996,[],2020-08-04T17:27:47+08:00,2020-08-04T17:28:57+08:00,,Task-Tracking
517,2899665,I1Q5E9,open,7725520,erpim,Erpim,[],2020-08-04T14:21:31+08:00,2020-08-04T14:21:32+08:00,,Bug-Report
518,2891805,I1PZBX,open,7347367,wangnan39,wangnan39,[],2020-08-03T14:23:02+08:00,2020-09-23T19:42:14+08:00,,Task-Tracking
519,2891754,I1PZAI,open,7347367,wangnan39,wangnan39,"[{'id': 58024323, 'name': 'comp/api', 'color': 'f1009a', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/comp/api', 'created_at': '2020-03-19T16:40:35+08:00', 'updated_at': '2021-01-27T14:17:44+08:00'}]",2020-08-03T14:16:34+08:00,2020-09-23T19:42:01+08:00,,Task-Tracking
520,2883118,I1PSMM,open,7841534,tom__chen,tom_chen,[],2020-07-31T20:05:04+08:00,2020-07-31T20:05:05+08:00,,Bug-Report
521,2881899,I1PROR,open,7841341,helloyesterday,Yesterday,[],2020-07-31T16:52:15+08:00,2020-09-22T15:17:48+08:00,,Requirement
522,2879312,I1PPOW,open,6575981,hanjun996,hanjun996,[],2020-07-31T11:37:04+08:00,2020-08-04T20:11:08+08:00,,Task-Tracking
523,2874919,I1PMAV,open,7456437,huaweib,baihuawei,[],2020-07-30T15:37:56+08:00,2020-07-31T14:48:52+08:00,,Bug-Report
524,2874192,I1PLQO,open,7363327,robingrosman,RobinGrosman,[],2020-07-30T14:29:42+08:00,2020-07-30T16:04:57+08:00,,Bug-Report
525,2872977,I1PKSX,open,5644189,c_34,chenhaozhe,[],2020-07-30T11:04:38+08:00,2020-07-30T11:04:40+08:00,,Task-Tracking
526,2863388,I1PDEK,open,6575981,hanjun996,hanjun996,[],2020-07-28T17:54:32+08:00,2020-07-28T18:52:25+08:00,,Task-Tracking
527,2857083,I1P8JF,open,7844343,guan_songsong,guansongsong,"[{'id': 58023093, 'name': 'comp/data', 'color': '8c6e63', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/comp/data', 'created_at': '2020-03-19T16:32:45+08:00', 'updated_at': '2021-02-06T07:00:20+08:00'}]",2020-07-27T19:43:53+08:00,2020-07-27T20:44:43+08:00,,Task-Tracking
528,2854905,I1P6UX,open,7456437,huaweib,baihuawei,[],2020-07-27T15:55:33+08:00,2020-07-27T15:55:58+08:00,,Bug-Report
529,2854285,I1P6DP,open,2305954,fudan_aidev,fudan_aidev,[],2020-07-27T15:01:44+08:00,2020-07-27T15:01:46+08:00,,Bug-Report
530,2853300,I1P5MC,open,7844343,guan_songsong,guansongsong,"[{'id': 58023093, 'name': 'comp/data', 'color': '8c6e63', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/comp/data', 'created_at': '2020-03-19T16:32:45+08:00', 'updated_at': '2021-02-06T07:00:20+08:00'}]",2020-07-27T12:49:34+08:00,2020-07-27T13:09:31+08:00,,Task-Tracking
531,2852862,I1P5A6,open,7825691,ZoeLiu12,ZoeLiu,[],2020-07-27T11:34:01+08:00,2020-08-17T12:37:49+08:00,,RFC
532,2849196,I1P2GC,open,6574868,jojobugfree,caifubi,[],2020-07-26T10:16:07+08:00,2020-07-26T10:16:40+08:00,,Bug-Report
533,2847091,I1P0TV,open,6566022,amongo,amongo,[],2020-07-25T10:37:04+08:00,2020-09-23T19:32:11+08:00,,RFC
534,2846686,I1P0IM,open,7528684,harsh1995,Harshvardhan Gupta,[],2020-07-25T05:47:46+08:00,2020-07-28T09:39:18+08:00,,Bug-Report
535,2846570,I1P0FE,open,7342120,jkl_lee,JesseKLee,[],2020-07-25T00:23:22+08:00,2020-07-25T01:22:43+08:00,,Bug-Report
536,2845949,I1OZY5,open,7456437,huaweib,baihuawei,[],2020-07-24T19:17:16+08:00,2020-08-19T20:17:47+08:00,,RFC
537,2839776,I1OV6O,open,6584654,yoonlee666,yoonlee666,[],2020-07-23T17:51:04+08:00,2020-07-23T17:52:58+08:00,,RFC
538,2835724,I1OS24,open,6585083,sunnybeike,sunbeilei,[],2020-07-23T10:05:32+08:00,2020-07-23T10:05:33+08:00,,Task-Tracking
539,2829971,I1ONMB,open,6573934,wangcong666,wangcong,[],2020-07-22T10:27:42+08:00,2020-07-22T10:28:04+08:00,,Bug-Report
540,2829573,I1ONB9,open,6566022,amongo,amongo,[],2020-07-22T09:51:35+08:00,2020-09-23T19:32:25+08:00,,RFC
541,2826320,I1OKSW,open,6574868,jojobugfree,caifubi,[],2020-07-21T15:59:59+08:00,2020-07-21T16:00:13+08:00,,RFC
542,2819953,I1OFW1,open,7347157,joylvliang,JoyLvliang,"[{'id': 58024568, 'name': 'comp/pynative', 'color': '20c22e', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/comp/pynative', 'created_at': '2020-03-19T16:42:22+08:00', 'updated_at': '2021-02-05T17:06:03+08:00'}]",2020-07-20T17:12:33+08:00,2020-09-24T09:19:46+08:00,,RFC
543,2817150,I1ODQ6,open,6578500,laiyongqiang,laiyongqiang,[],2020-07-20T11:44:00+08:00,2020-09-11T16:26:11+08:00,,RFC
544,2814025,I1OBBD,open,5603992,ptrk64,ptrk64,[],2020-07-19T22:24:45+08:00,2020-07-19T22:48:36+08:00,,Bug-Report
545,2808619,I1O757,open,7811393,gravitylife,彦祖,[],2020-07-17T16:32:14+08:00,2020-07-17T16:32:15+08:00,,Bug-Report
546,2804318,I1O3TQ,open,7357963,jtnisbet,Jamie,"[{'id': 58023093, 'name': 'comp/data', 'color': '8c6e63', 'repository_id': 5439905, 'url': 'https://gitee.com/api/v5/enterprises/mind_spore/labels/comp/data', 'created_at': '2020-03-19T16:32:45+08:00', 'updated_at': '2021-02-06T07:00:20+08:00'}]",2020-07-17T03:41:48+08:00,2020-07-18T19:57:15+08:00,,Task-Tracking
547,2802894,I1O2Q6,open,6574950,etone-chan,Etone.Chan,[],2020-07-16T17:31:48+08:00,2020-07-16T17:35:11+08:00,,RFC
548,2802265,I1O28P,open,6575981,hanjun996,hanjun996,[],2020-07-16T16:37:31+08:00,2020-07-16T16:42:46+08:00,,Task-Tracking
